http_request_url,nos_redirects,status_code_tool,final_processed_url,error_message_tool,website,afid,name,status_code_requests,notes,updated_name,google_url
http://www.crossfitlangley.com,,200,https://grittathletics.com/,,www.crossfitlangley.com,17710,CrossFit Langley,,,CrossFit+Langley,https://www.google.com/search?q=CrossFit+Langley
http://www.crossfitconcesio.com,,200,https://www.crossfitconcesio.com/,,www.crossfitconcesio.com,17714,CrossFit Concesio,,,CrossFit+Concesio,https://www.google.com/search?q=CrossFit+Concesio
http://www.crossfiturquijo.com,,200,http://crossfiturquijo.com/,,www.crossfiturquijo.com,17715,CrossFit Urquijo,,,CrossFit+Urquijo,https://www.google.com/search?q=CrossFit+Urquijo
http://www.crossfitmoladibari.com,,200,https://www.crossfitmoladibari.com/,,www.crossfitmoladibari.com,17716,CrossFit Mola di Bari,,,CrossFit+Mola+di+Bari,https://www.google.com/search?q=CrossFit+Mola+di+Bari
http://www.crossfitstraightcheetah.com,,200,http://crossfitstraightcheetah.com/,,www.crossfitstraightcheetah.com,17720,CrossFit Straight Cheetah,,,CrossFit+Straight+Cheetah,https://www.google.com/search?q=CrossFit+Straight+Cheetah
http://www.crossfit561.com,,200,https://www.crossfit561.com/,,www.crossfit561.com,17724,CrossFit 561,,,CrossFit+561,https://www.google.com/search?q=CrossFit+561
http://www.crossfitdeluge.com,,200,https://www.crossfitdeluge.com/,,www.crossfitdeluge.com,17726,CrossFit Deluge,,,CrossFit+Deluge,https://www.google.com/search?q=CrossFit+Deluge
http://www.h100crossfit.com,,200,https://www.h100crossfit.com/,,www.h100crossfit.com,17736,H100 CrossFit,,,H100+CrossFit,https://www.google.com/search?q=H100+CrossFit
http://www.constantquestcrossfit.com,,,,Connection timed out.,www.constantquestcrossfit.com,17742,Constant Quest CrossFit,,,Constant+Quest+CrossFit,https://www.google.com/search?q=Constant+Quest+CrossFit
http://www.crossfithd.com,0,200,http://www.crossfithd.com,,www.crossfithd.com,17743,CrossFit HD,,,CrossFit+HD,https://www.google.com/search?q=CrossFit+HD
http://www.crossfitrsg.com,,,,Connection timed out.,www.crossfitrsg.com,17747,CrossFit RSG,,,CrossFit+RSG,https://www.google.com/search?q=CrossFit+RSG
http://www.crossfithomeward.com,,,,Connection timed out.,www.crossfithomeward.com,17754,CrossFit Homeward,,,CrossFit+Homeward,https://www.google.com/search?q=CrossFit+Homeward
http://www.crossfitmorado.com,,,,Connection timed out.,www.crossfitmorado.com,17756,CrossFit Morado,,,CrossFit+Morado,https://www.google.com/search?q=CrossFit+Morado
http://www.altumcrossfit.com,,,,Connection timed out.,www.altumcrossfit.com,17758,Altum CrossFit,,,Altum+CrossFit,https://www.google.com/search?q=Altum+CrossFit
http://www.crossfit623.com,,,,Connection timed out.,www.crossfit623.com,17761,CrossFit 623,,,CrossFit+623,https://www.google.com/search?q=CrossFit+623
http://www.porttowercrossfit.com,,,,Connection timed out.,www.porttowercrossfit.com,17764,Port Tower CrossFit,,,Port+Tower+CrossFit,https://www.google.com/search?q=Port+Tower+CrossFit
http://www.flyingfortresscrossfit.com,,,,Connection timed out.,www.flyingfortresscrossfit.com,17766,Flying Fortress CrossFit,,,Flying+Fortress+CrossFit,https://www.google.com/search?q=Flying+Fortress+CrossFit
http://www.hellroaringcrossfit.com,,,,Connection timed out.,www.hellroaringcrossfit.com,17767,Hellroaring CrossFit,,,Hellroaring+CrossFit,https://www.google.com/search?q=Hellroaring+CrossFit
http://www.crossfit28004.com,,,,Connection timed out.,www.crossfit28004.com,17768,CrossFit 28004,,,CrossFit+28004,https://www.google.com/search?q=CrossFit+28004
http://www.trinitycrossfit.com,,,,Connection timed out.,www.trinitycrossfit.com,17770,Trinity CrossFit,,,Trinity+CrossFit,https://www.google.com/search?q=Trinity+CrossFit
http://www.crossfitviento.com,,,,Connection timed out.,www.crossfitviento.com,17779,CrossFit Viento,,,CrossFit+Viento,https://www.google.com/search?q=CrossFit+Viento
http://www.crossfitwarpath.com,,,,Connection timed out.,www.crossfitwarpath.com,17792,CrossFit Warpath,,,CrossFit+Warpath,https://www.google.com/search?q=CrossFit+Warpath
http://www.crossfitsherwoodpark.com,,,,Connection timed out.,www.crossfitsherwoodpark.com,17805,CrossFit Sherwood Park,,,CrossFit+Sherwood+Park,https://www.google.com/search?q=CrossFit+Sherwood+Park
http://www.crossfitdarkside.com,,,,Connection timed out.,www.crossfitdarkside.com,17811,CrossFit Dark Side,,,CrossFit+Dark+Side,https://www.google.com/search?q=CrossFit+Dark+Side
http://www.flambeauxcrossfit.com,,,,Connection timed out.,www.flambeauxcrossfit.com,17815,Flambeaux CrossFit,,,Flambeaux+CrossFit,https://www.google.com/search?q=Flambeaux+CrossFit
http://www.crossfitshelburne.com,,,,Connection timed out.,www.crossfitshelburne.com,17816,CrossFit Shelburne,,,CrossFit+Shelburne,https://www.google.com/search?q=CrossFit+Shelburne
http://www.crossfitsisters.com,,,,Connection timed out.,www.crossfitsisters.com,17828,CrossFit Sisters,,,CrossFit+Sisters,https://www.google.com/search?q=CrossFit+Sisters
http://www.72crossfit.com,,,,Connection timed out.,www.72crossfit.com,17829,7.2 CrossFit,,,7.2+CrossFit,https://www.google.com/search?q=7.2+CrossFit
http://www.barbellcrossfit.com,,,,Connection timed out.,www.barbellcrossfit.com,17839,Barbell CrossFit,,,Barbell+CrossFit,https://www.google.com/search?q=Barbell+CrossFit
http://www.gtscrossfit.com,,,,Connection timed out.,www.gtscrossfit.com,17840,GTS CrossFit,,,GTS+CrossFit,https://www.google.com/search?q=GTS+CrossFit
http://www.crossfitsingularboxgranada.com,,,,Connection timed out.,www.crossfitsingularboxgranada.com,17841,CrossFit Singular Box Granada,,,CrossFit+Singular+Box+Granada,https://www.google.com/search?q=CrossFit+Singular+Box+Granada
http://www.crossfitpawling.com,,,,Connection timed out.,www.crossfitpawling.com,17849,CrossFit Pawling,,,CrossFit+Pawling,https://www.google.com/search?q=CrossFit+Pawling
http://www.crossfitvinthill.com,,,,Connection timed out.,www.crossfitvinthill.com,17851,CrossFit Vint Hill,,,CrossFit+Vint+Hill,https://www.google.com/search?q=CrossFit+Vint+Hill
http://www.wildsoulcrossfit.com,,,,Connection timed out.,www.wildsoulcrossfit.com,17852,Wild Soul CrossFit,,,Wild+Soul+CrossFit,https://www.google.com/search?q=Wild+Soul+CrossFit
http://www.crossfittmc.com,,,,Connection timed out.,www.crossfittmc.com,17853,CrossFit TMC,,,CrossFit+TMC,https://www.google.com/search?q=CrossFit+TMC
http://www.crossfitbaldwinpark.com,,,,Connection timed out.,www.crossfitbaldwinpark.com,17861,CrossFit Baldwin Park,,,CrossFit+Baldwin+Park,https://www.google.com/search?q=CrossFit+Baldwin+Park
http://www.crossfit162west.com,,,,Connection timed out.,www.crossfit162west.com,17869,CrossFit 162 West,,,CrossFit+162+West,https://www.google.com/search?q=CrossFit+162+West
http://www.nirvanacrossfit.com,,,,Connection timed out.,www.nirvanacrossfit.com,17870,Nirvana CrossFit,,,Nirvana+CrossFit,https://www.google.com/search?q=Nirvana+CrossFit
http://www.armrcrossfit.com,,,,Connection timed out.,www.armrcrossfit.com,17877,ARMR CrossFit,,,ARMR+CrossFit,https://www.google.com/search?q=ARMR+CrossFit
http://www.camelcitycrossfit.com,,,,Connection timed out.,www.camelcitycrossfit.com,17881,Camel City CrossFit,,,Camel+City+CrossFit,https://www.google.com/search?q=Camel+City+CrossFit
http://www.crossfitnerve.com,,,,Connection timed out.,www.crossfitnerve.com,17882,CrossFit Nerve,,,CrossFit+Nerve,https://www.google.com/search?q=CrossFit+Nerve
http://www.eastridgefieldcrossfit.com,,,,Connection timed out.Request URL,www.eastridgefieldcrossfit.com,17888,East Ridgefield CrossFit,,,East+Ridgefield+CrossFit,https://www.google.com/search?q=East+Ridgefield+CrossFit
http://www.crossfitvisalia.com,,200,https://www.crossfitvisalia.com/,,www.crossfitvisalia.com,17889,CrossFit Visalia,,,CrossFit+Visalia,https://www.google.com/search?q=CrossFit+Visalia
http://www.ironmusketcrossfit.com,,200,http://ironmusketcrossfit.com/,,www.ironmusketcrossfit.com,17890,Iron Musket CrossFit,,,Iron+Musket+CrossFit,https://www.google.com/search?q=Iron+Musket+CrossFit
http://www.3starcrossfit.com,,200,https://3starcrossfit.com/,,www.3starcrossfit.com,17891,3 Star CrossFit,,,3+Star+CrossFit,https://www.google.com/search?q=3+Star+CrossFit
http://www.strongarmcrossfit.com,0,200,http://www.strongarmcrossfit.com,,www.strongarmcrossfit.com,17896,StrongArm CrossFit,,,StrongArm+CrossFit,https://www.google.com/search?q=StrongArm+CrossFit
http://www.crossfitbeavermenace.com,,200,https://crossfitbeavermenace.com/,,www.crossfitbeavermenace.com,17901,CrossFit Beaver Menace,,,CrossFit+Beaver+Menace,https://www.google.com/search?q=CrossFit+Beaver+Menace
http://www.crossfitkinston.com,,200,https://www.crossfitkinston.com/,,www.crossfitkinston.com,17902,CrossFit Kinston,,,CrossFit+Kinston,https://www.google.com/search?q=CrossFit+Kinston
